DATA_INIZIO_PUBBLICAZIONE|DATA_FINE_PUBBLICAZIONE|NUMERO|ANNO|OGGETTO|MITTENTE|TIPOLOGIA_ATTO_ORIGINALE|NUMERO_ATTO_ORIGINALE|DATA_ATTO_ORIGINALE
27/03/2025|04/04/2025|748|2025|NOT.ART. 140 C.P.C. CEAUN ION VASILE|PROTOCOLLO@LEGAL.COMUNE.CAMPOBELLODILICATA.AG.IT|AVVISI||
27/03/2025|11/04/2025|749|2025|DETERMINA N.276 DEL 27/03/2025 - DIPARTIMENTO SERVIZI ALLA PERSONA: CONCLUSIONE PROCEDURA DI CO  PROGETTAZIONE DD N. 871 DEL 14.11.2022 AVVISO DI ISTRUTTORIA PUBBLICA PER L’INDIVIDUAZIONE DI ENTI DEL TERZO SETTORE DISPONIBILI ALLA CO-PROGETTAZIONE AI SENSI DELL’ART. 55, COMMA 33, DEL D.LGS. 117/2017 PER LA DEFINIZIONE DI UN PROGETTO DEDICATO AI PERCORSI DI AUTONOMIA PER LE PERSONE CON DISABILITA’ E/O DISAGIO PSICHICO PATTO PER LA COSTRUZIONE DI UN MODELLO DI PROGETTO PERSONALIZZATO SOSTENUTO DA BUDGET DI SALUTE CIG 94859716E7  - CUP I64H22000360006|DIPARTIMENTO SERVIZI ALLA PERSONA|DETERMINE|276|27/03/2025
27/03/2025|11/04/2025|750|2025|DETERMINA N.277 DEL 27/03/2025 - DIPARTIMENTO AFFARI GENERALI: AVVIO NEGOZIAZIONE SENZA BANDO A SEGUITO DI PROCEDURA DI GARA APERTA RISULTATA DESERTA PER L’AFFIDAMENTO DI SERVIZI ASSICURATIVI LIMITATAMENTE AL LOTTO 1 (POLIZZA ALL RISK PROPERTY - ARP) 2025-2027.|DIPARTIMENTO AFFARI GENERALI|DETERMINE|277|27/03/2025
27/03/2025|04/04/2025|751|2025|RICHIESTA NOTIFICA AI SENSI ART. 140 CPC - PRATICA N. 22/2025 IRREP|SERVIZI DEMOGRAFICI|COMUNICAZIONI||
27/03/2025|04/04/2025|752|2025|RICHIESTA NOTIFICA AI SENSI ART. 140 CPC - PRATICA N. 112/2025|SERVIZI DEMOGRAFICI|COMUNICAZIONI||
27/03/2025|04/04/2025|753|2025|RICHIESTA NOTIFICA AI SENSI ART. 140 CPC - PRATICA N. 57/2025|SERVIZI DEMOGRAFICI|COMUNICAZIONI||
27/03/2025|04/04/2025|754|2025|RICHIESTA NOTIFICA AI SENSI ART. 140 CPC - PRATICA N. 23/2025 IRREP|SERVIZI DEMOGRAFICI|COMUNICAZIONI||
27/03/2025|04/04/2025|755|2025|RICHIESTA NOTIFICA AI SENSI ART. 140 CPC - PRATICA N. 24/2025|SERVIZI DEMOGRAFICI|COMUNICAZIONI||
27/03/2025|04/04/2025|756|2025|RICHIESTA NOTIFICA AI SENSI ART. 140 CPC - PRATICA N. 25 IRREP|SERVIZI DEMOGRAFICI|COMUNICAZIONI||
27/03/2025|16/04/2025|757|2025|DESIGNAZIONE COMPONENTI COMMISSIONE ELETTORALE RINNOVO RSU 2025 |SERVIZIO PROGRAMMAZIONE, CONTROLLO, RISORSE UMANE (TRATTAMENTO GIURIDICO)|AVVISI||
27/03/2025|11/04/2025|758|2025|DETERMINA N.279 DEL 27/03/2025 - CORPO DI POLIZIA LOCALE: REVOCA AFFIDAMENTO ED ASSUNZIONE IMPEGNO DI SPESA ALLA SOC. AGATAS.R.L.S. UNIPERSONALE PER SERVIZIO DI AUTOLAVAGGIO SU VEICOLI DEL PARCO MEZZI COMANDO POLIZIA LOCALE (CIG B5DB8B9D6F)|CORPO DI POLIZIA LOCALE|DETERMINE|279|27/03/2025
27/03/2025|11/04/2025|759|2025|DETERMINA N.278 DEL 27/03/2025 - CORPO DI POLIZIA LOCALE: AFFIDAMENTO E IMPUTAZIONE PER INTEGRAZIONE SPESA PER ADESIONE FONDAZIONE GAZZETTA AMMINISTRATIVA DELLA REPUBBLICA ITALIANA PER IL COMANDO DI POLIZIA LOCALE|CORPO DI POLIZIA LOCALE|DETERMINE|278|27/03/2025
27/03/2025|11/04/2025|760|2025|DETERMINA N.285 DEL 27/03/2025 - DIPARTIMENTO GOVERNO DEL TERRITORIO: FORNITURA DI ENERGIA ELETTRICA, CONDUZIONE, GESTIONE E MANUTENZIONE DEGLI IMPIANTI DELLA PUBBLICA ILLUMINAZION STRADALE E DEGLI IMPIANTI SEMAFORICI - CIG: 7725401295 - IMPEGNO DI SPESA|DIPARTIMENTO GOVERNO DEL TERRITORIO|DETERMINE|285|27/03/2025
27/03/2025|11/04/2025|761|2025|DETERMINA N.286 DEL 27/03/2025 - DIPARTIMENTO ATTIVITA' ECONOMICO FINANZIARIE E AMMINISTRATIVE: FORNITURA DI BENI E SERVIZI IN ECONOMIA-AFFIDAMENTO DIRETTO ED IMPEGNO PER L’ACQUISTO DI CARTA IN RISME FORMATO A4 E A3 PER GLI UFFICI DELL’ENTE - ODA SUL MEPA - CIG: B61D0F3392.|DIPARTIMENTO ATTIVITA' ECONOMICHE, FINANZIARIE E AMMINISTRATIVE|DETERMINE|286|27/03/2025
27/03/2025|11/04/2025|762|2025|DETERMINA N.284 DEL 27/03/2025 - DIPARTIMENTO AFFARI GENERALI: PROROGA TECNICA ED IMPEGNO DI SPESA PER IL SERVIZIO DI CONSERVAZIONE DIGITALE - APSER.ARCHIVIO, FORNITO DALLA SOCIETÀ APKAPPA S.R.L. PER IL PRIMO SEMESTRE 2025. CIG:B6250967D4.|DIPARTIMENTO AFFARI GENERALI|DETERMINE|284|27/03/2025
27/03/2025|11/04/2025|763|2025|DETERMINA N.282 DEL 27/03/2025 - DIPARTIMENTO SERVIZI ALLA PERSONA: INTEGRAZIONE CONTRIBUTO PER GLI INTERVENTI ASSISTENZIALI A FAVORE DELLE PERSONE IN CONDIZIONE DI POVERTÀ RESIDENTI NEL COMUNE DI MONTEROTONDO E SFRATTATI SENZA TETTO RESIDENTI E/O SOGGIORNANTI TEMPORANEAMENTE NEL TERRITORIO DEL COMUNE DI MONTEROTONDO  CIG ESENTE  DEBITO NON COMMERCIALE|DIPARTIMENTO SERVIZI ALLA PERSONA|DETERMINE|282|27/03/2025
27/03/2025|11/04/2025|764|2025|DETERMINA N.283 DEL 27/03/2025 - DIPARTIMENTO AFFARI GENERALI: PROCEDURA DI GARA APERTA EX ART. 70 E 71 D.LGS. 36/2023 N. PA S11/2024/SUA PER L’AFFIDAMENTO DEI SERVIZI ASSICURATIVI PER IL COMUNE DI MONTEROTONDO - AUTORIZZAZIONE ALLA STIPULA CONTRATTUALE LOTTI: 3 KASKO (CODICE CIG B3F28EE780), 4 LIBRO MATRICOLA RCA/ARD (LM) CODICE CIG B3F28EF853; LOTTO 5 RC PATRIMONIALE (CODICE CIG B3F28F0926)|DIPARTIMENTO AFFARI GENERALI|DETERMINE|283|27/03/2025
27/03/2025|11/04/2025|765|2025|DETERMINA N.280 DEL 27/03/2025 - DIPARTIMENTO AFFARI GENERALI: PROCEDURA DI GARA APERTA EX ART. 70 E 71 D.LGS. 36/2023 N. PA S04/2025/SUA. AFFIDAMENTO IN VIA D’URGENZA LOTTO 2 INFORTUNI CUMULATIVA (CODICE CIG B58100F3BE); LOTTO 3 RCTO (CODICE CIG B581010491) E LOTTO 4 TUTELA LEGALE (CODICE CIG B581011564)|DIPARTIMENTO AFFARI GENERALI|DETERMINE|280|27/03/2025
27/03/2025|11/04/2025|766|2025|DETERMINA N.281 DEL 27/03/2025 - DIPARTIMENTO ATTIVITA' ECONOMICO FINANZIARIE E AMMINISTRATIVE: FORNITURA DI BENI E SERVIZI IN ECONOMIA-AFFIDAMENTO DIRETTO ED IMPEGNO PER L’ACQUISTO DI DUE SCRIVANIE E DUE CASSETTIERE PER IL SERVIZIO SUPPORTO ORGANI ISTITUZIONALI DELL’ ENTE   - ODA SUL MEPA- CIG B635EF01BC.|DIPARTIMENTO ATTIVITA' ECONOMICHE, FINANZIARIE E AMMINISTRATIVE|DETERMINE|281|27/03/2025
28/03/2025|12/04/2025|767|2025|DELIBERA: GIUNTA COMUNALE  N.81 DEL 27/03/2025: PIANO NAZIONALE DI RIPRESA E RESILIENZA (PNRR), MISSIONE 5 INCLUSIONE E COESIONE, COMPONENTE 1 POLITICHE PER IL LAVORO, INVESTIMENTO 1.1 POTENZIAMENTO DEI CENTRI PER L'IMPIEGO (PES) PIANO STRAORDINARIO DI POTENZIAMENTO DEI SERVIZI PER IL LAVORO E DELLE POLITICHE ATTIVE DEL LAVORO DEL LAZIO. RICHIESTA CONCESSIONE DI RISORSE FINANZIARIE PER LA RISTRUTTURAZIONE DI LOCALI DA ADIBIRE A NUOVA SEDE CPI DI MONTEROTONDO  RETTIFICA PARZIALE DELLA D.G.C. N. 34 DEL 11/02/2025|ATTIUFF - Servizio infrastrutture|DELIBERE|81|27/03/2025
28/03/2025|12/04/2025|768|2025|DELIBERA: GIUNTA COMUNALE  N.82 DEL 27/03/2025: APPROVAZIONE DEL PIANO INTEGRATO DI ATTIVITA' E ORGANIZZAZIONE 2025-2027|ATTIUFF - Servizio risorse umane (trattamento giuridico) |DELIBERE|82|27/03/2025
28/03/2025|12/04/2025|769|2025|ORDINANZA DIRIGENZIALE N.68 DEL 28/03/2025 - SERVIZIO POLIZIA LOCALE: ORDINANZA CDS LAVORI REALIZZAZIONE FIBRA OTTICA VIA MONTE ARGENTARIO, VIA MONTE CIRCEO E VIA MONTE PELMO UNIDATA SPA REVOCA PUNTI N 5 - 6 - 7 ORDINANZA N 50/2025|CORPO DI POLIZIA LOCALE|ORDINANZE POLIZIA LOCALE|68|28/03/2025
28/03/2025|12/04/2025|770|2025|ORDINANZA DIRIGENZIALE N.69 DEL 28/03/2025 - SERVIZIO POLIZIA LOCALE: ORDINANZA CDS VIA  J.F. KENNEDY LAVORI ESPAZIA REVOCA ORDINANZA N 65/2025|CORPO DI POLIZIA LOCALE|ORDINANZE POLIZIA LOCALE|69|28/03/2025
31/03/2025|15/04/2025|771|2025|DETERMINA N.289 DEL 29/03/2025 - DIPARTIMENTO SERVIZI ALLA PERSONA: APPROVAZIONE GRADUATORIA DEFINITIVA RELATIVA ALL’AMMISSIONE E ALLA FREQUENZA ALLA SCUOLA COMUNALE DELL’INFANZIA R. BORELLI ANNO SCOLASTICO 2025/2026|DIPARTIMENTO SERVIZI ALLA PERSONA|DETERMINE|289|29/03/2025
31/03/2025|15/04/2025|772|2025|DETERMINA N.288 DEL 28/03/2025 - DIPARTIMENTO GOVERNO DEL TERRITORIO: RACCOLTA LEGNA SECCA NEL TERRITORIO COMUNALE ALL’INTERNO DELLA RISERVA NATURALE DELLA MACCHIA DI GATTACECA E MACCHIA DEL BARCO AUTORIZZAZIONE N. CMRC-2025-0054463_N.O.1688 CITTÀ METROPOLITANA DI ROMA CAPITALE|DIPARTIMENTO GOVERNO DEL TERRITORIO|DETERMINE|288|28/03/2025
31/03/2025|15/04/2025|773|2025|DETERMINA N.287 DEL 28/03/2025 - DIPARTIMENTO GOVERNO DEL TERRITORIO: SERVIZIO DI RECUPERO E CONFERIMENTO DEGLI IMBALLAGGI IN MATERIALI MISTI ED IMBALLAGGI IN PLASTICA, DEI RIFIUTI BIODEGRADABILI E DEL SERVIZIO DI SMALTIMENTO E CONFERIMENTO RELATIVAMENTE AI CODICI VARI RACCOLTI PRESSO ECOCENTRO COMUNALE; LOTTO I CIG 9541679A98, LOTTO II CIG 95416946, LOTTO III CIG 9541721D40 - PROROGA CONTRATTUALE EX ART. 106 CO.11 DEL D.LGS. N. 50/2016 (ART. 120 DEL D.LGS. 36/2023)|DIPARTIMENTO GOVERNO DEL TERRITORIO|DETERMINE|287|28/03/2025
31/03/2025|23/04/2025|774|2025|TRASMISSIONE COMUNICAZIONE CONVOCAZIONE CANDIDATI CONCORSO OPERATORE ESPERTO IN SERVIZI DI ACCOGLIENZA, VIGILANZA E INFORMAZIONE|SERVIZIO SUPPORTO ORGANI ISTITUZIONALI, AFFARI LEGALI E SANITA'|COMUNICAZIONI||
31/03/2025|20/04/2025|775|2025|RICHIESTA NOTIFICA AI SENSI ART. 143 CPC - PRATICA N. 43/2025|SERVIZI DEMOGRAFICI|COMUNICAZIONI||
31/03/2025|16/04/2025|776|2025|ELEZIONI RSU - TRASMISSIONE VERBALE N.2|COMMISSIONE RSU|AVVISI||
31/03/2025|22/04/2025|777|2025|CONVOCAZIONE CANDIDATI A MESSO ELENCO CANDIDATI ESONERATI|SERVIZIO SUPPORTO ORGANI ISTITUZIONALI, AFFARI LEGALI E SANITA'|AVVISI||
01/04/2025|21/04/2025|778|2025|RACCOMANDATA INTESTATA A SGAVICCHIA MASSIMILIANO |Postel Pomezia|COMUNICAZIONI||
01/04/2025|21/04/2025|779|2025|RACCOMANDATA INTESTATA A ROSCA IONEL |Postel Pomezia|COMUNICAZIONI||
